city_name,charger_count,avg_lat,avg_lon
Pimpri-Chinchwad,1,18.5948,73.7975
Pondicherry,1,12.06587465,79.88027083
Port Blair,1,11.630305,92.724835
Puducherry,1,11.8945141,79.8026819
Jodhpur,1,26.20977,73.0650083
Kanpur,1,26.482346,80.329394
Karadagodu,1,13.1459,75.6419
Hatna,1,12.9770904,76.8311918
Hosur,1,12.7170751,77.876026
Durgapur,1,23.498815,87.377675
Electronic City,1,12.865032,77.657853
Ernakulam,1,10.01921939,76.30459452
Purnea,1,25.7952561,87.5593019
Pushkar,1,26.4547,74.5046
Ramnagar,1,29.313755,79.1950917
Rudrapur,1,29.006961,79.401351
Saharanpur,1,29.977,77.5753
Salasar,1,27.7363007,74.7426386
Sambalpur,1,21.498344,83.956558
Chouk,1,18.90173,73.23436
Dahanu,1,19.9883,72.7488
Darbaripur,1,28.3861,77.0063
Dhule,1,20.8292,74.7485
Dindori,1,20.1704,73.8273
Bramavara,1,13.4381,74.7433
Buldhana,1,,
Chakan,1,18.77893,73.87099
Chidambaram,1,11.40802995,79.67390344
Chikkamagaluru,1,13.3319,75.7731
Shabhad,1,30.2059,76.8575
Shela,1,23.0436,72.4825
Shivamogga,1,13.9419,75.5816
Sikar,1,27.3449069,75.6020031
Sirsa,1,29.528,75.1325
Bellary,1,15.18446555,76.66276174
Bhadalwadi,1,18.3289,74.7794
Bhilwara,1,25.38240223,74.61958377
Bhimtal,1,29.3237,79.5921
Bhuvanagiri,1,17.522471,78.924306
Tumkur,1,13.2852419,77.1829955
Barog,1,30.8873188,77.0879411
Basavakalyan,1,17.8218258,76.9393922
Bayamari,1,22.4380501,88.763395
Bayarmari,1,22.4380501,88.763395
Beawar Khas,1,26.125,74.3459
Belgavi,1,15.87491249,74.51340824
Surathkal,1,12.9875,74.8048
Talegaon Dabhade,1,18.7005,73.6933
Alwar,1,28.1967,76.8128
Una,1,31.4668,76.2568
"Vandalur, Chennai",1,12.8735113,80.0785537
Vasai-Virar,1,19.3593,72.8123
Agartala,1,23.8620683,91.2822391
Adoor,1,9.1621728,76.7219365
Adilabad,1,19.6560251,78.52951
Yelur,1,16.956461,74.275721
Baramati,1,18.206925,74.6085667
"Amravati, Mh",1,20.909443,77.7522447
